refseq	chr	start	end	pos	tss	SYMBOL	ENSEMBL
NM_001271498	chr2	11703293	11707293	0	11705293.0	Il15ra	ENSMUSG00000023206
NM_001285857	chr7	142432977	142436977	0	142434977.0	Syt8	ENSMUSG00000031098
NM_011811	chr1	78486897	78490897	1	78488897.0	Farsb	ENSMUSG00000026245
NM_011706	chr11	62572486	62576486	0	62574486.0	Trpv2	ENSMUSG00000018507
NM_009790	chr12	100197435	100201435	0	100199435.0	Calm1	ENSMUSG00000001175
NM_026770	chr5	30943480	30947480	1	30945480.0	Cgref1	ENSMUSG00000029161
NR_110579	chr8	99009887	99013887	0	99011887.0	Gm15679	ENSMUSG00000089819
NR_003568	chr13	12648395	12652395	1	12650395.0	Gpr137b-ps	
NR_003564	chr11	88964917	88968917	1	88966917.0	Gm15698	ENSMUSG00000057534
NR_003559	chr7	100605996	100609996	1	100607996.0	Mrpl48	ENSMUSG00000030706
NR_003555	chr7	7276289	7280289	1	7278289.0	Vmn2r29	ENSMUSG00000095730
NR_003555	chr7	7276289	7280289	1	7278289.0	Vmn2r29	ENSMUSG00000110105
NR_003548	chr3	92371915	92375915	0	92373915.0	Sprr2g	ENSMUSG00000046203
NR_003546	chr13	104176466	104180466	1	104178466.0	Trappc13	ENSMUSG00000021711
NM_133974	chr9	123214038	123218038	1	123216038.0	Cdcp1	ENSMUSG00000035498
NM_133251	chrX	57086106	57090106	0	57088106.0	Vgll1	ENSMUSG00000031131
NR_027008	chr6	113075244	113079244	1	113077244.0	Gt(ROSA)26Sor	ENSMUSG00000086429
NR_003522	chr5	30948066	30952066	0	30950066.0	Abhd1	ENSMUSG00000006638
NR_003508	chr16	97534081	97538081	0	97536081.0	Mx2	ENSMUSG00000023341
NR_003507	chr5	120810635	120814635	0	120812635.0	Oas1b	ENSMUSG00000029605
NM_008568	chr5	138169862	138173862	1	138171862.0	Mcm7	ENSMUSG00000029730
NM_001326351	chr9	90160978	90164978	0	90162978.0	Adamts7	ENSMUSG00000032363
NR_003293	chr11	96942146	96946146	0	96944146.0	D030028A08Rik	ENSMUSG00000078700
NR_003283	chr11	79621163	79625163	1	79623163.0	Rab11fip4os1	ENSMUSG00000087434
NR_003282	chr11	78392485	78396485	0	78394485.0	Slc13a2os	ENSMUSG00000085747
NM_001317241	chr2	90845155	90849155	0	90847155.0	Mtch2	ENSMUSG00000027282
NM_001317241	chr2	90845155	90849155	0	90847155.0	Mtch2	ENSMUSG00000111714
NR_003258	chr2	174325914	174329914	0	174327914.0	Gnas	ENSMUSG00000027523
NR_003248	chr9	98953310	98957310	1	98955310.0	Foxl2os	ENSMUSG00000097072
NR_003243	chrX	71970986	71974986	0	71972986.0	Fate1	ENSMUSG00000053593
NM_001317221	chrX	101261992	101265992	1	101263992.0	Gm614	ENSMUSG00000090141
NR_003185	chr3	92416087	92420087	0	92418087.0	Sprr2j-ps	ENSMUSG00000027925
NR_003146	chr8	21693012	21697012	0	21695012.0	Defa-ps1	ENSMUSG00000095813
NR_002926	chr4	138829857	138833857	0	138831857.0	Pla2g2a	ENSMUSG00000058908
NR_002896	chr19	8721487	8725487	0	8723487.0	Snhg1	ENSMUSG00000108414
NR_002874	chr15	56687944	56691944	0	56689944.0	Has2os	ENSMUSG00000086541
NR_002873	chr6	83708932	83712932	1	83710932.0	Vax2os	ENSMUSG00000085794
NM_001317220	chr10	128491009	128495009	1	128493009.0	Myl6	ENSMUSG00000090841
NR_004410	chr1	9940543	9944543	1	9942543.0	Snord87	ENSMUSG00000093178
NM_001093750	chrX	155621327	155625327	1	155623327.0	Ptchd1	ENSMUSG00000041552
NM_001033446	chr18	46919815	46923815	0	46921815.0	Arl14epl	ENSMUSG00000073568
NM_001243110	chr5	146489363	146493363	0	146491363.0	Gm6370	ENSMUSG00000096527
NM_001164466	chr15	39855470	39859470	1	39857470.0	Dpys	ENSMUSG00000022304
NM_001164441	chr15	31365759	31369759	1	31367759.0	Ankrd33b	ENSMUSG00000022237
NM_001164437	chr3	27894368	27898368	1	27896368.0	Tmem212	ENSMUSG00000043164
NM_133729	chrX	50839371	50843371	0	50841371.0	Stk26	ENSMUSG00000031112
NM_016719	chr2	65020766	65024766	1	65022766.0	Grb14	ENSMUSG00000026888
NM_011664	chr11	62549171	62553171	0	62551171.0	Ubb	ENSMUSG00000019505
NM_011658	chr12	33955671	33959671	0	33957671.0	Twist1	ENSMUSG00000035799
NM_133248	chr5	107595639	107599639	1	107597639.0	Glmn	ENSMUSG00000029276
NM_133247	chr3	152344478	152348478	0	152346478.0	Usp33	ENSMUSG00000025437
NR_030611	chr14	63725189	63729189	0	63727189.0	Mir598	ENSMUSG00000076049
NM_001162929	chr13	21979194	21983194	0	21981194.0	Pom121l2	ENSMUSG00000016982
NM_001166592	chr11	69918947	69922947	1	69920947.0	Eif5a	ENSMUSG00000078812
NM_001166545	chr17	27554574	27558574	0	27556574.0	Hmga1	ENSMUSG00000046711
NM_007860	chr4	107305168	107309168	1	107307168.0	Dio1	ENSMUSG00000034785
NM_001331176	chr13	14061488	14065488	1	14063488.0	Ggps1	ENSMUSG00000021302
NM_001127351	chr7	140879869	140883869	1	140881869.0	Sirt3	ENSMUSG00000025486
NM_010780	chr14	55942675	55946675	1	55944675.0	Cma1	ENSMUSG00000022225
NR_105815	chr14	118590472	118594472	1	118592472.0	Mir6391	ENSMUSG00000098433
NR_045297	chr1	12665563	12669563	0	12667563.0	Gm17644	ENSMUSG00000097171
NM_001030307	chrX	75093854	75097854	0	75095854.0	Dkc1	ENSMUSG00000031403
NM_001034896	chr11	94780703	94784703	1	94782703.0	Tmem92	ENSMUSG00000075610
NM_139139	chr2	119206795	119210795	1	119208795.0	Dnajc17	ENSMUSG00000034278
NM_011780	chr1	63443891	63447891	0	63445891.0	Adam23	ENSMUSG00000025964
NM_001252451	chr16	58725910	58729910	0	58727910.0	Cldnd1	ENSMUSG00000022744
NM_001252327	chr10	128301335	128305335	0	128303335.0	Pan2	ENSMUSG00000005682
NM_001242616	chrX	74280718	74284718	0	74282718.0	Taz	ENSMUSG00000009995
NM_001204916	chr10	3265771	3269771	1	3267771.0	H60c	ENSMUSG00000091618
NM_001204915	chr10	67094988	67098988	1	67096988.0	Reep3	ENSMUSG00000019873
NM_001204914	chr18	34838589	34842589	0	34840589.0	Reep2	ENSMUSG00000038555
NM_001204912	chr12	4232027	4236027	0	4234027.0	Ptrhd1	ENSMUSG00000096199
NM_001205011	chr1	173275756	173279756	1	173277756.0	Mptx2	ENSMUSG00000079180
NM_001205082	chr5	125339094	125343094	1	125341094.0	Scarb1	ENSMUSG00000037936
NR_004447	chr1	13784929	13788929	1	13786929.0	Gm5523	ENSMUSG00000097711
